name,slug,category,tagline,pricing_model,api_available,platforms,website_url,affiliate_url,best_for,key_features,last_updated,logo_url
Zapier,zapier,Automation,Connect apps with no-code workflows,Freemium,yes,Web,https://zapier.com,https://zapier.com/sign-up,Small teams,"App integrations; multi-step zaps; templates",2024-01-15,https://zapier.com/logo.png
Make,make,Automation,Visual automation builder,Freemium,yes,Web,https://www.make.com,https://www.make.com/en/register,Operations,"Visual scenarios; routing; error handling",2024-02-01,https://www.make.com/logo.png
n8n,n8n,Automation,Open-source workflow automation,Freemium,yes,Web,https://n8n.io,https://n8n.io/pricing,Developers,"Self-hosting; 300+ integrations; custom nodes",2024-02-10,https://n8n.io/logo.png
Pipedream,pipedream,Automation,Low-code integrations and workflows,Freemium,yes,Web,https://pipedream.com,https://pipedream.com/signup,Engineering,"Serverless workflows; event triggers; SDK",2024-01-30,https://pipedream.com/logo.png
IFTTT,ifttt,Automation,Simple applets for everyday automation,Freemium,no,Web,https://ifttt.com,https://ifttt.com/join,Consumers,"Applets; smart home; mobile",2024-01-20,https://ifttt.com/logo.png
Power Automate,power-automate,Automation,Microsoft workflow automation,Free,yes,Web,https://powerautomate.microsoft.com,https://powerautomate.microsoft.com/en-us/sign-up/,Enterprise,"Office 365 connectors; RPA; approvals",2024-02-05,https://powerautomate.microsoft.com/logo.png
Workato,workato,Automation,Enterprise automation platform,Enterprise,yes,Web,https://www.workato.com,https://www.workato.com/request-demo,Enterprise,"Recipes; governance; integrations",2024-01-25,https://www.workato.com/logo.png
Tray.io,tray-io,Automation,Composable workflow automation,Enterprise,yes,Web,https://tray.io,https://tray.io/request-demo,Enterprise,"Low-code builder; connectors; orchestration",2024-02-03,https://tray.io/logo.png
Integrately,integrately,Automation,One-click automations,Freemium,yes,Web,https://integrately.com,https://integrately.com/signup,SMB,"Prebuilt automations; multi-step flows",2024-01-18,https://integrately.com/logo.png
Celigo,celigo,Automation,Integration platform for SaaS,Enterprise,yes,Web,https://www.celigo.com,https://www.celigo.com/request-demo,Enterprise,"Integrator.io; marketplace; templates",2024-02-11,https://www.celigo.com/logo.png
Boomi,boomi,Automation,Enterprise iPaaS,Enterprise,yes,Web,https://boomi.com,https://boomi.com/demo,Enterprise,"iPaaS; data management; B2B",2024-01-28,https://boomi.com/logo.png
Activepieces,activepieces,Automation,Open-source automation builder,Free,yes,Web,https://www.activepieces.com,https://www.activepieces.com/cloud,Developers,"Self-hosting; integrations; AI steps",2024-02-07,https://www.activepieces.com/logo.png
Parabola,parabola,Automation,Drag-and-drop data automation,Freemium,yes,Web,https://parabola.io,https://parabola.io/sign-up,Operations,"Data flows; transforms; exports",2024-01-22,https://parabola.io/logo.png
Albato,albato,Automation,Automation for apps and APIs,Freemium,yes,Web,https://albato.com,https://albato.com/signup,SMB,"App connections; multi-step; webhooks",2024-01-29,https://albato.com/logo.png
KonnectzIT,konnectzit,Automation,Automate your business workflows,Freemium,yes,Web,https://konnectzit.com,https://konnectzit.com/signup,SMB,"Automation builder; app integrations",2024-02-08,https://konnectzit.com/logo.png
Integrify,integrify,Automation,Process automation for teams,Enterprise,yes,Web,https://www.integrify.com,https://www.integrify.com/request-demo,Enterprise,"Workflow builder; approvals; reporting",2024-01-26,https://www.integrify.com/logo.png
SyncSpider,syncspider,Automation,Data integration and automation,Enterprise,yes,Web,https://syncspider.com,https://syncspider.com/request-demo,Enterprise,"ETL; connectors; monitoring",2024-01-27,https://syncspider.com/logo.png
Elastic.io,elastic-io,Automation,Integration platform as a service,Enterprise,yes,Web,https://www.elastic.io,https://www.elastic.io/demo,Enterprise,"iPaaS; connectors; orchestration",2024-02-02,https://www.elastic.io/logo.png
Cyclr,cyclr,Automation,Embedded integration platform,Enterprise,yes,Web,https://www.cyclr.com,https://www.cyclr.com/demo,SaaS,"Embedded marketplace; connectors",2024-02-04,https://www.cyclr.com/logo.png
Tines,tines,Automation,No-code automation for security teams,Enterprise,yes,Web,https://www.tines.com,https://www.tines.com/request-demo,Security,"Story automation; audit logs",2024-02-06,https://www.tines.com/logo.png
Retool Workflows,retool-workflows,Automation,Automate internal tools workflows,Freemium,yes,Web,https://retool.com,https://retool.com/sign-up,Operations,"Workflow builder; webhooks",2024-02-09,https://retool.com/logo.png
UiPath Automation Cloud,uipath-automation-cloud,Automation,RPA and automation platform,Enterprise,yes,Web,https://www.uipath.com,https://www.uipath.com/platform/automation-cloud,Enterprise,"RPA; AI; orchestration",2024-02-12,https://www.uipath.com/logo.png
Nintex,nintex,Automation,Workflow automation for enterprises,Enterprise,yes,Web,https://www.nintex.com,https://www.nintex.com/request-demo,Enterprise,"Process mapping; approvals; forms",2024-02-13,https://www.nintex.com/logo.png
Automate.io,automate-io,Automation,Simple workflow automation,Freemium,yes,Web,https://automate.io,https://automate.io/signup,SMB,"App connections; bots; workflows",2024-01-17,https://automate.io/logo.png
Workiom,workiom,Automation,No-code business process automation,Freemium,yes,Web,https://www.workiom.com,https://www.workiom.com/signup,SMB,"Workflows; custom apps; automations",2024-02-14,https://www.workiom.com/logo.png
